seismic_zone,ground_acceleration_g,p_wave_velocity_kms,s_wave_velocity_kms,recent_quakes_30d,max_recent_magnitude,fault_distance_km,soil_type,building_age_years,bedrock_depth_m,historical_count_5y,population_density,hour_of_day,month,risk_level
4,0.001,4.22,3.11,8,2.5,29.4,4,62,54.4,14,1604.0,7,4,2
3,0.546,5.7,3.08,11,3.6,30.2,2,68,29.5,10,4010.0,17,2,2
4,0.168,4.89,2.65,7,4.0,143.7,3,31,62.7,18,2708.0,7,5,2
4,0.498,5.34,2.47,7,5.0,103.5,3,51,60.2,23,3968.0,12,4,2
5,0.213,5.51,2.85,7,5.0,91.2,2,13,50.6,25,4921.0,16,9,2
4,1.448,5.3,3.48,6,3.7,69.8,3,46,51.5,25,1786.0,22,12,2
2,0.364,4.79,2.75,5,2.8,111.1,2,82,37.0,11,6509.0,3,12,0
5,0.511,4.64,3.33,10,6.8,136.4,3,31,25.2,26,5928.0,15,11,2
3,0.092,5.87,3.16,6,3.1,67.7,3,80,71.4,11,2911.0,22,1,2
3,0.096,4.72,2.92,7,2.2,90.3,4,0,51.6,18,535.0,6,3,2
3,0.358,5.61,3.38,5,4.9,99.9,4,22,67.9,22,1285.0,18,2,2
2,0.001,4.7,2.99,4,2.8,89.7,2,7,25.5,13,2895.0,7,12,0
3,0.025,4.85,2.34,9,5.0,219.8,2,40,41.2,15,5006.0,11,2,1
5,0.088,4.36,2.68,5,5.9,74.6,1,16,85.9,25,938.0,11,7,2
3,0.116,5.06,3.66,5,2.5,111.0,4,78,29.6,13,2376.0,13,6,1
2,0.018,4.92,3.56,2,2.7,56.0,2,3,58.6,6,2207.0,7,9,0
3,0.073,4.97,3.27,7,2.4,66.6,1,19,26.8,15,1040.0,15,3,1
4,0.615,5.62,3.53,6,4.0,105.8,3,12,63.2,23,5201.0,22,9,2
4,0.644,4.89,2.34,10,2.9,140.7,1,0,18.9,16,2920.0,10,10,2
3,0.197,4.84,3.37,4,3.0,26.6,1,66,37.3,14,4251.0,22,2,1
3,0.277,4.36,2.88,6,2.5,50.8,3,85,31.3,14,4458.0,19,7,2
5,0.286,4.78,3.11,9,5.9,128.0,1,8,75.3,30,2082.0,23,8,2
5,0.278,5.24,2.91,12,4.0,98.4,3,18,36.7,18,4008.0,11,4,2
2,0.044,5.13,2.92,2,2.9,132.8,3,90,28.0,10,3019.0,0,6,0
3,0.184,3.8,2.75,5,2.3,59.4,2,5,13.4,9,4065.0,2,11,1
4,0.436,4.37,2.83,9,4.8,119.0,2,44,34.3,17,1201.0,20,2,2
3,0.294,4.6,2.79,9,4.5,125.1,4,65,30.9,15,5714.0,13,3,2
3,0.329,4.74,2.97,3,4.8,62.1,4,29,21.1,16,4322.0,2,10,2
3,0.213,5.05,2.54,4,2.2,106.1,3,65,75.0,24,4470.0,17,9,1
2,0.16,5.06,3.34,5,3.5,89.6,4,54,58.6,17,5232.0,3,3,1
3,0.092,5.34,2.92,6,2.2,117.3,1,53,15.2,16,4507.0,21,8,1
5,0.299,4.82,3.25,12,2.8,90.3,2,81,142.2,30,4229.0,18,8,2
5,0.454,4.15,2.98,9,6.6,85.1,2,44,85.9,26,1456.0,21,4,2
3,0.33,4.94,3.45,12,2.4,132.6,2,75,29.2,22,573.0,7,8,2
2,0.041,3.92,3.55,1,4.0,97.1,4,48,68.6,12,699.0,7,1,1
4,0.756,4.19,3.36,9,4.3,118.2,1,63,15.7,21,751.0,4,5,2
4,0.548,5.34,3.21,16,4.7,87.3,3,38,43.7,20,1101.0,16,7,3
4,0.062,4.72,2.91,8,5.7,188.7,1,39,46.0,13,5606.0,16,11,1
4,0.067,5.71,2.9,16,4.7,17.0,1,38,51.2,23,1116.0,2,10,2
3,0.606,4.51,3.26,9,3.7,33.7,3,22,45.7,15,4429.0,1,5,2
3,0.068,5.41,2.91,5,4.2,68.1,3,73,20.1,14,4606.0,10,4,1
3,0.028,5.53,2.88,4,2.5,50.9,4,87,49.7,14,887.0,1,4,2
3,0.154,4.78,2.47,4,4.3,47.5,4,37,37.2,18,5112.0,19,6,2
5,1.894,5.04,2.64,10,4.0,44.0,2,19,62.1,30,1009.0,14,3,3
4,0.126,4.99,3.02,9,3.3,128.1,4,41,71.0,20,1710.0,5,11,2
3,0.533,4.17,3.03,7,2.7,145.5,4,91,51.1,12,5258.0,14,11,2
3,0.272,6.13,2.88,10,3.2,150.5,2,35,102.7,10,4907.0,22,9,1
2,0.095,5.01,2.89,4,3.7,151.4,2,23,44.3,8,3559.0,1,3,0
3,0.319,5.46,2.71,8,3.9,92.3,4,28,24.8,23,4146.0,22,2,2
2,0.035,4.93,3.02,1,3.9,83.3,3,2,45.1,7,307.0,19,4,0
4,0.18,4.8,3.4,11,2.7,61.4,1,25,79.0,17,3528.0,19,7,2
5,0.335,5.04,3.46,8,4.2,94.9,2,57,74.2,35,5441.0,14,5,2
3,0.517,6.0,2.92,7,3.9,99.2,3,52,58.3,16,4888.0,15,1,2
3,0.141,5.16,3.13,6,4.3,79.9,1,22,104.9,17,1423.0,19,9,1
3,0.491,4.74,2.53,5,4.0,92.4,2,40,51.0,12,3178.0,2,11,1
2,0.052,4.57,2.85,5,2.9,123.1,4,56,45.2,9,1082.0,8,5,1
4,0.214,5.27,4.0,8,3.8,141.0,3,56,44.8,25,2796.0,9,4,2
3,0.039,4.61,2.81,9,3.0,107.6,3,16,38.0,12,3072.0,11,2,1
3,0.207,4.23,3.28,4,4.4,128.5,4,93,46.1,12,2881.0,23,3,1
2,0.006,4.81,2.97,6,3.2,63.2,2,32,41.1,6,531.0,4,1,1
3,0.499,5.63,3.34,2,3.1,158.9,3,77,52.1,15,2384.0,1,4,1
4,0.02,4.39,3.09,8,2.4,34.9,3,45,49.5,20,498.0,3,7,2
2,0.013,5.01,2.88,6,2.3,117.3,1,61,62.6,10,3629.0,13,3,0
3,0.071,5.46,2.62,8,2.6,14.0,4,27,43.0,10,2748.0,4,6,2
4,0.171,5.18,3.52,9,5.7,90.0,4,20,42.8,12,2492.0,4,10,2
2,0.082,5.58,2.6,4,2.6,19.3,2,93,58.9,4,1965.0,2,12,1
3,0.519,5.12,2.98,1,4.8,44.7,3,28,66.0,14,4194.0,14,7,2
3,0.198,5.59,3.5,5,3.7,43.7,2,8,79.8,15,818.0,20,5,1
5,0.193,4.68,2.51,10,5.1,29.2,4,56,20.7,15,1219.0,10,1,3
2,0.012,5.34,3.07,8,3.6,195.3,1,59,24.6,8,3512.0,3,7,0
5,0.293,5.79,3.5,10,6.4,37.9,2,18,17.0,31,5873.0,20,1,2
2,0.384,5.1,3.13,7,2.2,266.6,1,46,78.2,5,2006.0,22,1,1
4,0.603,5.26,3.33,4,5.9,198.0,3,87,47.5,19,1672.0,14,8,2
5,0.455,6.1,3.29,11,4.5,184.7,1,7,50.4,23,3840.0,1,12,2
3,0.534,5.22,3.0,3,3.2,112.6,3,21,59.8,16,1403.0,2,6,2
3,0.0,5.17,3.34,2,4.8,170.1,3,67,46.1,13,573.0,20,1,1
4,1.496,4.83,2.55,4,5.2,97.3,4,57,22.2,17,2976.0,4,3,2
4,0.107,5.2,3.65,4,3.0,94.2,3,25,36.0,23,3568.0,3,9,2
3,0.201,4.63,3.18,7,4.2,39.2,3,5,26.1,15,3002.0,12,7,2
5,0.408,5.14,2.84,15,4.4,99.4,3,62,53.5,37,3158.0,9,4,3
2,0.21,5.5,2.68,1,3.0,111.0,1,95,34.0,10,3338.0,14,1,0
4,0.489,5.67,2.84,5,2.1,186.9,4,52,51.9,14,2678.0,7,1,2
3,0.219,5.41,2.76,6,3.9,109.6,2,89,45.6,13,5175.0,16,7,1
3,0.566,5.99,3.48,7,3.1,136.2,4,6,80.6,22,2294.0,5,10,2
3,0.588,5.69,2.63,7,4.5,136.5,2,22,106.3,14,5445.0,9,11,2
2,0.168,4.04,2.93,7,2.5,49.6,1,83,51.0,9,3158.0,18,11,1
4,0.096,5.55,3.47,6,2.9,153.5,2,47,54.9,25,3448.0,2,2,1
2,0.168,4.85,2.73,3,2.1,89.7,2,8,30.6,14,2195.0,17,3,0
2,0.002,4.68,3.18,4,2.1,69.6,1,95,20.2,3,3914.0,4,8,0
3,0.886,4.87,2.54,5,4.7,65.9,2,52,43.6,20,1427.0,3,8,2
3,0.751,5.89,3.34,5,4.5,164.1,4,34,59.6,9,5120.0,9,6,2
2,0.134,5.49,3.28,3,2.6,15.4,1,47,45.0,11,3028.0,4,4,1
4,0.293,5.01,3.13,10,3.1,158.0,3,99,67.6,25,2717.0,17,8,2
5,0.791,4.63,2.83,7,7.0,156.5,2,38,6.3,28,2724.0,20,2,2
2,0.374,5.46,3.06,3,2.6,91.8,1,94,91.3,10,1337.0,5,5,1
3,0.084,5.19,3.34,6,4.8,29.8,4,53,27.9,22,3925.0,16,9,2
3,0.17,5.31,2.76,3,4.0,92.2,3,81,56.4,24,2544.0,3,10,1
4,0.576,5.09,3.08,8,4.2,96.7,3,1,24.2,20,1362.0,23,6,2
5,0.829,5.82,2.66,8,6.4,129.2,4,80,28.8,30,1640.0,14,2,3
4,0.842,4.66,3.3,3,5.5,65.4,3,87,77.5,18,3166.0,3,10,2
3,0.456,5.4,2.99,5,2.1,96.6,4,26,62.2,16,1006.0,6,1,2
3,0.222,3.93,3.03,5,3.9,73.0,3,17,54.4,10,2339.0,15,8,1
4,0.149,5.74,2.62,14,4.1,52.0,1,62,40.9,24,4526.0,12,7,2
3,0.253,4.79,2.61,9,2.4,47.4,1,72,61.3,14,5602.0,8,2,2
5,1.231,4.94,2.92,10,6.5,24.6,4,50,49.9,33,4346.0,17,10,3
2,0.135,5.26,2.52,3,2.4,65.2,2,63,53.3,8,401.0,23,11,0
2,0.339,4.11,2.68,8,3.7,45.9,1,53,48.7,11,1604.0,17,10,1
2,0.171,4.68,3.38,1,2.1,29.4,2,70,76.0,16,1959.0,7,3,0
2,0.025,4.44,2.55,1,2.6,88.4,1,75,82.3,16,4696.0,12,7,0
3,0.103,4.5,2.78,6,2.7,68.8,2,66,29.8,17,3549.0,1,5,1
3,0.001,5.32,2.95,5,2.6,76.1,2,20,81.7,9,5568.0,5,11,1
4,1.112,5.75,3.09,10,5.6,160.1,2,38,39.4,18,872.0,4,7,2
4,0.017,4.65,2.93,11,2.3,113.6,4,83,46.2,14,1463.0,4,3,2
2,0.035,5.3,3.14,3,2.8,86.3,3,1,44.0,10,3102.0,23,8,1
5,0.068,4.22,3.03,4,5.9,62.1,3,5,29.9,23,2672.0,0,5,2
3,0.131,4.48,3.04,7,3.2,188.7,1,10,46.7,15,1815.0,16,11,1
3,0.366,4.72,2.66,2,2.0,120.7,3,11,34.5,12,4612.0,2,12,1
4,0.933,4.96,3.08,7,5.8,80.4,4,74,72.1,15,5163.0,0,9,3
4,0.154,5.12,3.13,9,2.6,121.7,1,2,99.5,16,3535.0,0,3,1
5,0.472,5.58,3.32,6,3.0,104.9,1,86,22.7,32,730.0,3,5,2
4,0.87,5.28,3.3,12,3.7,63.3,3,9,139.0,19,4534.0,19,11,3
4,0.115,4.89,3.16,9,3.7,106.0,2,77,80.4,17,709.0,12,11,1
3,0.043,4.88,2.57,6,4.8,138.0,2,32,62.0,18,1518.0,20,6,1
2,0.025,5.29,2.7,6,2.2,177.6,1,68,11.7,11,3993.0,12,8,0
4,0.93,5.85,2.52,9,4.6,24.6,2,80,54.6,24,1957.0,16,5,2
3,0.284,4.65,3.08,3,3.4,79.8,4,31,53.8,14,2879.0,7,7,2
4,0.324,4.88,2.08,8,2.9,350.5,2,57,22.0,18,2324.0,9,3,2
3,0.672,4.7,2.73,8,3.5,75.9,1,27,39.5,10,2106.0,22,9,2
3,0.143,4.84,3.27,5,2.3,88.8,2,22,56.7,17,4935.0,22,2,1
3,0.439,5.36,3.17,4,4.2,164.9,4,31,41.9,22,4205.0,23,4,2
3,0.493,5.5,2.91,4,3.1,67.0,2,22,147.6,15,5163.0,18,2,1
3,0.305,4.01,2.69,4,4.3,45.0,3,44,42.1,14,4876.0,8,4,2
3,0.394,4.61,2.53,8,4.9,66.9,1,42,25.8,17,3466.0,7,6,2
5,0.063,4.43,2.65,9,3.6,313.4,1,36,34.7,33,3092.0,1,1,2
2,0.03,5.53,2.76,8,3.0,100.1,1,78,49.6,11,1176.0,4,3,0
5,0.056,4.45,2.89,11,6.4,52.2,3,14,54.7,26,688.0,17,11,2
4,1.136,4.98,3.2,4,3.0,41.1,1,60,15.6,24,5491.0,4,1,2
2,0.044,5.41,2.27,4,2.7,95.7,3,83,126.9,13,2389.0,10,4,1
5,0.276,5.31,3.04,12,4.4,11.9,1,95,58.1,24,1127.0,15,3,3
5,0.12,4.72,2.97,14,2.8,22.8,1,77,51.8,21,1916.0,0,9,2
2,0.145,4.56,3.1,6,2.8,113.5,4,94,46.0,10,1626.0,22,3,1
2,0.092,4.38,3.03,9,2.2,277.8,1,5,23.7,8,3179.0,2,9,0
5,0.01,5.45,3.1,6,2.8,149.2,4,41,74.9,34,3263.0,17,4,2
2,0.065,4.66,3.31,2,2.5,34.6,1,0,16.3,7,3721.0,10,4,0
3,0.538,5.06,3.14,2,4.8,98.5,4,28,21.2,15,595.0,7,11,2
3,0.081,5.28,2.8,7,4.5,160.3,1,43,16.4,13,4653.0,10,7,1
4,0.575,4.71,3.03,12,5.2,145.9,2,40,105.8,25,3976.0,10,6,2
5,0.349,5.06,3.05,9,5.8,48.6,4,30,22.5,30,405.0,18,7,3
4,0.003,4.02,2.74,7,3.0,148.5,4,16,49.7,15,3954.0,10,5,2
2,0.212,4.84,2.81,5,3.5,54.7,2,53,21.7,10,1075.0,6,3,0
3,0.193,5.96,2.72,7,3.6,136.4,3,84,90.8,15,3564.0,1,10,1
3,0.653,5.19,3.0,5,3.4,116.5,1,93,44.6,13,2650.0,17,9,1
5,0.923,4.89,3.29,9,2.8,75.7,4,26,72.8,30,4543.0,17,4,3
5,1.433,6.11,2.49,7,5.5,65.8,1,10,42.7,15,2153.0,16,11,2
3,0.274,4.4,3.09,5,4.2,74.5,1,54,24.5,20,2744.0,14,5,1
5,0.218,4.66,2.94,13,4.4,69.0,2,7,96.0,22,1704.0,19,7,2
2,0.314,5.1,2.91,10,2.2,97.7,3,36,85.8,10,2638.0,9,5,1
5,0.597,4.67,2.94,16,5.8,91.1,1,7,42.0,24,986.0,22,6,3
2,0.357,4.33,3.16,5,3.8,155.3,2,20,30.0,13,6544.0,14,1,0
3,0.245,4.07,3.35,2,4.7,28.7,4,11,9.7,16,2378.0,15,4,2
3,0.402,4.74,2.49,10,2.9,180.8,4,37,54.8,12,2158.0,4,9,2
4,0.342,5.55,2.91,7,2.4,185.1,4,39,39.0,27,3826.0,5,3,2
4,0.645,5.05,2.79,13,2.9,77.1,4,61,56.3,21,2159.0,21,2,3
2,0.073,5.35,2.85,2,2.6,22.1,4,58,19.0,10,1992.0,10,6,1
3,0.41,4.91,2.94,6,2.8,110.9,1,31,46.2,12,3546.0,6,7,1
2,0.065,4.49,2.91,0,2.5,103.3,4,56,15.1,12,3465.0,12,4,0
5,1.275,4.39,2.45,8,3.7,62.1,3,63,43.6,22,3988.0,14,6,3
3,1.529,4.34,2.89,12,3.0,50.1,1,89,46.6,16,3756.0,3,6,2
2,0.039,5.99,2.89,2,3.2,260.5,4,33,159.8,7,4853.0,11,5,0
5,0.134,3.68,2.92,9,5.2,107.4,3,73,74.6,27,4622.0,22,9,2
2,0.137,6.03,3.0,6,3.1,125.5,1,83,59.1,14,2379.0,4,9,0
3,0.153,4.53,2.77,12,2.7,69.1,3,69,25.3,6,2183.0,15,12,2
5,0.179,4.84,3.44,8,4.8,82.9,2,82,13.4,20,2461.0,15,5,2
3,0.284,5.52,2.85,5,4.1,35.7,4,93,38.4,18,5062.0,6,11,2
3,0.684,5.16,3.1,3,2.1,64.2,2,43,50.5,10,2026.0,12,10,2
3,0.213,6.37,3.32,5,3.3,95.9,1,81,19.0,18,3865.0,0,4,1
4,0.426,5.23,2.98,14,4.4,50.9,3,76,56.7,17,3761.0,5,4,2
4,0.416,5.23,2.7,7,3.3,138.4,2,72,51.2,13,3648.0,18,6,2
2,0.008,5.3,2.59,2,3.4,97.8,1,43,79.3,11,5486.0,0,2,0
3,0.656,5.9,3.02,8,4.4,268.9,4,60,61.3,14,1342.0,15,9,2
2,0.098,4.52,2.72,2,2.3,119.3,4,87,52.2,7,4531.0,0,2,0
3,0.365,5.8,3.33,5,2.1,60.9,4,53,90.4,13,3804.0,12,11,2
4,0.012,4.85,2.49,11,5.1,126.5,1,44,15.3,21,1224.0,8,5,2
3,0.158,4.46,2.71,5,3.9,58.5,3,94,37.3,13,6927.0,22,6,1
3,0.092,4.89,3.12,4,4.3,106.2,2,96,85.0,15,931.0,7,3,1
5,0.25,5.87,2.71,8,3.0,163.6,3,64,70.3,32,4702.0,4,5,2
2,0.046,4.8,2.88,5,2.1,196.4,3,29,31.1,13,1492.0,21,10,0
5,0.183,5.28,3.19,10,4.8,64.3,4,28,31.9,20,1688.0,9,5,2
5,1.53,6.56,2.39,7,5.9,68.8,2,30,89.5,27,1482.0,12,1,2
2,0.144,4.03,2.85,1,3.1,102.9,1,89,14.1,14,5026.0,11,10,0
5,1.39,4.83,2.4,10,5.9,146.7,2,76,11.4,37,2976.0,10,6,2
3,0.294,4.92,2.96,6,2.4,103.2,4,59,29.3,13,4186.0,13,10,2
4,0.218,4.99,3.18,8,5.0,84.1,3,95,179.3,24,4808.0,8,2,2
4,0.584,4.88,3.19,10,5.3,180.2,4,91,30.0,24,4600.0,11,6,2
2,0.017,5.49,2.99,2,3.5,69.4,2,40,39.6,11,2753.0,6,12,0
5,0.803,4.75,3.07,6,6.0,117.9,2,31,121.6,20,2447.0,16,1,2
3,0.201,5.45,3.08,5,2.4,96.1,4,62,52.2,11,1521.0,12,1,2
2,0.005,5.38,2.81,5,3.6,161.1,3,63,39.5,11,5428.0,2,5,0
3,0.125,5.62,2.34,9,3.1,158.6,3,53,87.8,14,1217.0,23,11,1
3,0.279,3.93,2.69,5,2.2,89.6,4,76,52.6,11,5008.0,21,1,2
3,0.066,5.34,3.32,5,5.0,82.1,3,2,27.3,17,2644.0,5,7,1
4,0.193,4.74,2.79,2,5.3,99.8,3,11,34.7,13,3761.0,0,3,1
3,1.011,4.56,2.87,6,4.8,166.0,3,54,49.8,15,2185.0,18,6,2
2,0.032,4.17,3.28,2,3.2,90.1,2,5,38.4,10,2057.0,9,5,0
3,0.238,4.55,2.85,3,4.2,30.6,3,28,44.8,12,1143.0,16,5,2
2,0.252,4.86,3.33,1,2.3,110.1,1,96,37.1,4,4999.0,17,9,0
2,0.262,4.56,2.99,2,3.4,102.1,3,25,44.8,16,4453.0,23,6,0
5,2.48,4.21,2.65,15,4.2,99.8,4,91,58.7,15,5108.0,9,11,3
3,0.082,5.48,3.48,4,4.8,88.2,1,0,18.0,17,1265.0,5,3,1
5,1.073,4.12,3.15,11,2.6,125.6,1,9,39.5,28,1693.0,8,7,2
4,0.26,5.86,3.58,7,4.7,142.9,3,1,33.5,22,5018.0,18,3,2
3,0.01,5.11,2.36,13,4.0,80.5,1,85,43.4,20,3756.0,23,1,2
2,0.168,5.96,3.36,6,3.8,119.5,4,66,48.0,11,4586.0,2,4,1
4,0.071,4.86,2.68,10,4.0,23.3,2,75,29.3,17,5104.0,19,5,2
4,0.187,5.7,2.83,9,3.5,50.6,4,35,41.8,16,2276.0,3,12,2
2,0.255,4.31,3.31,3,2.2,88.7,1,44,96.1,11,2537.0,4,7,0
4,0.907,4.52,2.69,8,5.0,103.8,3,46,38.1,27,2365.0,9,12,2
5,1.075,5.26,2.79,11,4.2,70.4,4,45,41.3,16,5383.0,12,11,3
3,0.767,4.97,3.35,5,4.6,103.7,1,44,55.6,19,1217.0,11,5,1
3,0.05,4.97,2.92,8,3.4,246.9,4,36,98.1,25,1542.0,21,9,2
4,0.044,5.62,2.92,6,4.3,14.0,2,96,35.4,21,3652.0,13,12,2
3,0.199,5.16,3.25,7,3.0,72.5,4,97,11.9,15,2164.0,17,3,2
2,0.021,4.85,3.12,4,3.6,34.2,1,1,22.6,14,2392.0,9,4,1
3,0.015,4.62,2.89,7,4.6,129.3,4,62,45.9,20,1785.0,21,1,2
2,0.118,4.87,3.12,4,3.4,45.3,2,60,61.7,11,549.0,19,9,1
3,0.181,3.82,2.62,10,3.9,302.8,4,3,36.3,15,2062.0,3,7,2
5,0.605,4.39,3.33,7,3.4,76.9,1,87,62.4,22,2295.0,4,3,2
3,0.142,5.6,3.07,5,3.0,130.6,3,87,41.5,12,2860.0,13,8,1
2,0.304,5.21,2.94,2,2.4,126.0,3,30,25.0,9,953.0,13,8,0
3,0.044,5.64,3.47,2,2.8,193.2,4,93,51.8,12,1037.0,10,11,1
3,0.123,4.35,3.14,8,2.8,22.0,3,87,19.1,12,1528.0,8,2,2
4,0.075,5.0,2.77,8,4.7,233.7,4,75,45.9,20,1076.0,15,2,2
3,0.13,5.29,2.9,7,3.2,160.1,2,80,39.3,14,1469.0,23,3,1
2,0.201,4.6,2.83,1,2.0,110.3,3,69,15.2,10,4606.0,23,1,0
3,0.16,3.97,3.12,6,3.0,154.9,2,8,58.1,13,1864.0,10,10,1
2,0.711,4.95,3.47,4,2.9,100.9,1,97,61.1,9,2141.0,13,5,1
3,0.711,4.47,3.11,6,3.9,74.5,4,94,40.9,17,4158.0,9,2,2
4,0.639,4.65,3.01,11,5.0,86.4,1,37,28.2,20,4002.0,7,4,2
4,0.551,4.76,2.88,3,2.3,84.5,1,49,58.5,24,3855.0,7,11,2
5,1.273,4.52,3.38,4,2.9,150.5,3,8,56.5,24,1961.0,12,4,2
4,0.262,4.2,3.4,7,4.1,72.0,3,52,22.4,21,658.0,18,10,2
2,0.664,5.5,3.43,6,3.5,163.5,2,34,47.2,7,3848.0,6,12,1
4,1.276,5.33,2.78,9,3.3,64.0,2,77,32.2,14,2437.0,8,12,2
4,0.01,5.4,2.96,9,5.5,111.4,2,84,37.0,25,3075.0,10,3,1
4,1.497,5.46,3.12,10,3.1,48.6,2,74,66.2,20,2098.0,12,10,2
2,0.098,5.1,3.4,2,3.7,74.2,2,49,11.7,15,4975.0,21,9,0
4,0.128,5.88,3.59,6,4.8,24.1,3,5,35.5,17,3270.0,20,6,2
2,0.278,4.11,3.05,3,2.6,116.8,2,81,51.6,14,3250.0,0,7,0
3,0.166,5.22,2.63,7,2.8,61.2,2,70,135.7,16,1066.0,22,11,1
3,0.911,4.71,3.13,5,2.2,231.1,3,99,43.0,11,5100.0,10,11,2
5,1.0,4.43,2.78,10,3.5,55.7,1,60,49.6,33,5532.0,19,9,2
2,0.082,5.25,3.29,4,3.4,117.7,2,77,28.3,15,1001.0,2,11,0
2,0.168,5.12,2.77,5,2.2,113.6,4,4,59.1,9,3881.0,6,10,1
4,0.286,5.31,2.91,7,4.8,120.8,2,1,82.8,29,2570.0,0,2,1
3,0.216,5.43,2.78,13,3.7,120.6,2,89,56.4,13,4269.0,13,3,1
4,0.175,6.28,2.58,9,4.5,146.7,4,55,54.4,22,6521.0,9,5,2
5,0.023,5.57,3.3,12,3.4,102.3,1,88,18.1,23,2052.0,22,8,2
2,0.252,4.15,3.08,2,2.9,107.3,3,43,44.1,11,3774.0,5,1,0
4,0.04,6.08,3.14,12,2.1,96.8,3,73,43.5,16,2628.0,9,7,2
3,0.04,5.8,3.0,7,4.4,35.5,4,17,59.5,15,4486.0,0,5,2
3,0.658,4.46,3.37,9,3.3,10.9,1,86,48.9,15,1630.0,10,12,2
2,0.075,5.06,3.53,4,2.6,76.5,3,5,71.7,11,2225.0,5,11,1
3,0.598,5.18,3.24,12,3.9,62.9,3,56,48.7,10,3952.0,22,12,2
3,0.468,4.97,2.71,7,4.8,22.1,1,66,20.4,12,2284.0,3,8,2
3,0.527,3.92,3.54,7,3.8,122.7,2,98,29.9,14,1621.0,4,8,2
4,0.079,4.51,2.91,7,2.7,162.8,3,66,37.0,18,4611.0,18,12,2
3,0.234,5.11,3.05,5,4.9,99.4,1,2,39.6,19,786.0,14,5,1
3,0.051,4.21,2.89,3,4.5,98.9,4,6,21.0,10,3050.0,14,10,2
3,0.005,5.0,3.24,6,3.2,186.9,3,89,20.7,13,2920.0,20,2,1
5,0.983,4.4,3.09,14,3.1,134.6,1,15,40.2,16,3970.0,22,3,2
5,0.052,4.45,2.78,7,3.1,66.0,4,66,57.8,41,3259.0,11,1,2
3,0.062,5.26,3.18,8,2.9,29.1,4,30,29.4,14,2718.0,6,9,2
5,0.822,4.31,3.3,10,2.0,122.8,1,12,73.1,22,1284.0,22,12,2
3,0.722,4.32,3.27,7,2.7,30.0,1,71,39.0,15,4498.0,8,11,2
4,0.355,4.48,2.98,8,2.0,110.1,1,1,60.6,17,3204.0,6,9,2
4,0.041,4.6,2.99,10,4.6,135.0,4,10,10.5,17,5487.0,4,3,2
5,0.238,5.66,3.42,7,4.0,95.8,3,37,14.2,23,2022.0,11,12,2
5,0.094,4.63,3.15,11,4.6,101.1,4,66,40.5,14,3792.0,9,8,2
3,0.116,5.19,3.23,8,4.8,53.4,3,55,60.9,20,923.0,5,2,2
4,0.324,5.41,2.35,6,4.8,51.3,4,72,42.0,27,1905.0,7,6,2
4,0.539,5.51,3.35,11,4.6,257.1,4,18,56.1,15,1671.0,5,6,3
5,0.393,4.34,3.2,5,2.5,143.2,1,75,31.2,27,5202.0,5,7,2
4,0.354,5.46,3.3,7,2.9,34.4,4,96,36.7,23,1322.0,14,3,3
3,0.136,4.45,2.84,5,3.4,109.1,2,79,51.8,15,3131.0,1,12,1
5,0.077,4.47,3.7,7,5.2,49.3,1,14,36.9,23,4795.0,1,5,2
2,0.128,5.81,2.26,6,3.5,92.2,4,19,74.3,9,1701.0,19,4,1
4,0.278,6.34,3.19,8,3.2,81.0,2,95,55.4,20,3060.0,14,3,2
3,0.656,5.26,3.11,4,4.3,50.3,4,32,17.9,11,2688.0,5,4,2
2,0.143,5.01,3.09,6,2.2,35.9,2,18,28.5,14,1562.0,17,4,1
4,0.112,4.94,3.19,5,4.9,121.0,4,61,22.2,19,3328.0,2,4,2
2,0.022,5.03,3.38,5,3.5,88.0,3,38,46.8,11,6368.0,20,3,1
3,0.242,5.34,2.99,5,4.9,170.6,3,41,31.5,18,2513.0,3,8,1
3,0.61,4.44,3.38,9,3.6,168.6,4,44,36.4,8,5078.0,9,1,2
5,0.094,5.37,2.83,9,3.4,104.3,3,43,51.0,26,1657.0,0,12,2
2,0.876,4.43,3.08,5,3.9,106.8,4,62,53.0,10,1179.0,5,4,1
3,0.014,4.77,3.58,4,4.8,144.7,3,65,45.7,14,1168.0,14,9,1
4,0.439,4.69,2.78,11,4.7,116.4,2,40,41.4,17,4779.0,0,12,2
2,0.326,5.62,3.56,3,2.3,111.8,2,59,80.1,9,1414.0,17,7,0
5,0.308,4.77,2.99,10,4.3,107.5,4,34,34.4,30,3169.0,3,9,2
5,0.166,5.48,2.87,18,2.1,117.9,1,84,39.1,29,4303.0,21,2,2
3,0.46,4.8,3.18,7,4.8,27.2,2,30,27.9,16,496.0,6,8,2
4,0.047,4.92,2.94,9,3.2,61.8,1,22,37.9,24,1554.0,17,2,2
2,0.05,4.5,3.13,3,2.5,74.7,4,53,58.0,10,7043.0,3,5,1
3,0.03,5.54,2.76,6,3.0,18.6,3,12,38.9,14,1951.0,21,7,2
4,0.403,4.65,3.15,8,5.7,49.6,2,14,51.2,23,2768.0,21,4,2
3,0.053,5.39,2.4,5,3.9,147.4,3,66,49.4,16,3463.0,5,9,1
3,0.22,4.96,2.67,5,4.0,62.4,3,28,23.7,12,2660.0,23,2,1
3,0.126,6.61,2.9,9,3.4,42.5,3,38,36.2,17,1330.0,13,4,2
5,0.083,5.19,3.1,10,2.8,20.6,1,19,36.0,27,5025.0,9,8,2
