slope_angle_deg,rainfall_24h_mm,rainfall_7d_mm,soil_moisture_percent,soil_cohesion_kpa,soil_friction_angle,vegetation_cover_pct,elevation_m,historical_landslides,soil_type,deforestation,groundwater_depth_m,seismic_activity,month,risk_level
28.8,45.6,115.7,59.8,7.8,39.9,62.1,358.7,2,1,0,15.6,0,4,0
44.7,55.5,66.6,74.4,23.9,23.2,67.4,2449.2,0,2,0,10.5,0,12,1
25.1,35.6,93.1,58.0,9.5,17.6,45.0,1601.7,3,4,0,19.8,0,3,1
20.3,180.8,533.9,95.0,42.3,15.8,19.9,1525.3,2,3,1,22.5,0,6,3
54.6,190.0,753.2,95.0,15.4,31.1,32.0,117.1,2,3,0,30.6,0,9,3
71.6,172.6,444.2,95.0,44.7,35.0,8.7,805.6,1,2,1,6.5,1,7,3
25.0,66.6,82.4,72.1,33.7,20.1,80.2,805.9,2,5,0,16.3,0,12,2
16.8,51.7,133.4,85.5,47.3,43.7,47.9,2063.6,0,3,0,9.5,1,2,2
52.8,55.0,145.7,69.0,26.5,41.2,8.2,2352.3,1,2,1,9.4,0,1,2
22.8,56.3,147.8,86.5,5.9,42.9,24.0,2838.9,1,4,1,25.8,0,4,2
47.3,179.9,629.9,95.0,35.6,44.5,8.4,1359.8,2,2,1,20.5,0,7,3
49.9,189.6,655.0,95.0,43.0,26.3,2.8,1158.0,0,3,1,32.7,0,7,3
66.4,55.8,90.2,66.9,47.7,15.5,55.7,1780.7,2,3,0,10.0,1,11,2
62.6,18.3,41.4,42.7,25.9,19.0,67.7,648.5,2,3,0,13.4,0,1,1
47.7,41.5,71.0,58.9,30.7,39.5,64.4,2950.8,0,2,0,18.0,0,2,1
90.9,17.4,28.5,66.9,35.3,43.5,45.6,159.0,1,5,0,15.3,0,5,2
37.8,38.0,49.5,73.2,29.4,23.1,1.6,1678.2,4,2,1,18.1,0,2,2
29.2,49.8,137.2,83.4,5.1,21.8,7.8,989.2,2,3,1,19.6,1,5,2
17.6,334.1,700.1,95.0,37.2,40.4,66.7,2272.2,3,1,0,19.3,0,6,2
25.5,24.0,54.3,61.0,25.2,24.9,30.1,2923.1,2,3,0,10.8,0,5,1
37.5,181.7,680.7,95.0,12.0,28.3,55.5,1370.2,1,2,0,9.4,1,9,3
30.8,52.6,73.6,69.0,25.9,23.9,8.9,2725.0,3,5,1,14.9,0,11,2
79.4,23.4,56.4,59.9,28.1,39.9,33.5,2532.8,2,3,0,11.1,0,12,2
43.2,35.3,46.3,49.2,42.3,40.4,75.3,2337.7,1,2,0,13.6,0,2,0
62.7,42.0,67.6,75.2,6.6,40.4,11.8,552.1,2,3,1,21.1,0,5,2
72.9,174.2,535.3,95.0,15.6,22.8,81.7,2281.2,1,2,0,17.0,0,8,3
34.8,18.9,30.6,49.5,46.1,35.6,0.4,1264.1,1,5,1,23.1,0,5,1
48.0,44.6,67.1,70.5,30.0,30.4,24.6,2246.8,2,4,1,26.2,0,11,2
10.7,164.2,411.6,95.0,40.5,16.0,9.5,2132.0,3,1,1,4.0,0,8,2
56.1,47.8,92.9,82.6,14.8,40.8,72.7,683.4,1,1,0,10.7,1,12,2
53.8,61.4,120.9,76.6,18.7,19.0,62.9,948.5,2,3,0,40.0,0,3,2
32.5,71.4,85.9,78.6,37.4,32.9,94.0,2446.8,3,5,0,19.0,0,2,2
116.1,25.6,28.4,72.7,15.8,23.7,32.5,808.4,2,1,0,17.3,0,5,2
40.2,42.3,43.6,69.0,47.4,16.4,17.1,399.6,2,4,1,18.3,0,10,2
27.3,459.0,1756.4,95.0,13.8,42.7,16.0,598.0,6,3,1,4.0,1,6,3
86.5,25.3,88.4,53.7,24.1,35.0,9.8,2558.5,2,4,1,9.1,0,8,2
67.9,25.2,30.8,64.2,40.4,24.4,77.6,389.3,1,2,0,29.1,0,2,1
49.4,197.8,887.1,95.0,29.1,34.1,86.4,1227.7,0,4,0,18.8,0,8,3
47.7,66.8,295.5,81.0,36.6,21.3,20.1,2533.1,2,3,1,9.0,0,7,2
34.5,17.5,31.9,64.4,26.5,38.5,4.6,1524.9,2,5,1,15.6,0,10,2
33.1,189.1,811.1,95.0,16.1,40.7,5.3,522.8,2,1,1,10.8,0,6,3
24.1,29.8,82.9,61.9,31.5,44.9,89.8,1940.5,1,4,0,2.8,0,5,1
53.0,144.0,310.4,95.0,31.3,40.7,16.0,1469.5,1,1,1,30.2,0,6,3
74.8,27.0,35.6,46.5,16.5,28.8,63.8,1562.5,3,2,0,20.3,0,3,1
12.1,72.9,137.8,72.8,33.7,40.0,28.6,717.0,2,2,1,7.5,0,1,1
48.0,75.0,133.5,95.0,12.3,43.2,24.4,1283.2,3,5,1,1.9,0,1,2
54.6,36.4,108.7,50.3,13.5,38.2,19.2,2050.4,6,4,1,2.1,0,2,2
30.5,115.6,520.6,95.0,37.4,33.6,21.9,2623.0,1,4,1,5.3,0,9,3
12.1,48.9,85.4,57.2,42.2,33.4,59.2,484.6,2,2,0,22.1,0,5,0
19.6,52.9,134.1,74.4,37.5,20.0,74.4,1104.4,6,2,0,6.5,0,2,1
62.0,50.7,102.3,85.2,5.6,41.7,9.9,2355.6,0,2,1,13.4,0,1,2
28.7,38.1,108.9,55.6,40.4,42.9,68.2,2388.1,2,5,0,10.4,0,3,1
71.5,184.3,771.2,95.0,26.3,16.3,13.8,1371.8,5,1,1,23.0,0,7,3
28.2,456.3,1862.6,95.0,40.8,37.4,94.4,1987.1,1,3,0,15.7,1,7,3
33.7,64.9,74.1,63.2,44.3,29.4,15.0,1446.0,2,4,1,15.4,0,4,2
30.1,4.6,6.4,54.4,49.9,39.3,42.5,1966.4,1,4,0,15.0,0,12,1
34.4,231.7,745.2,95.0,18.4,15.6,19.1,1868.2,2,4,1,18.8,0,9,3
68.4,163.4,785.0,95.0,26.5,31.8,47.6,1486.8,3,2,0,12.2,0,7,3
69.1,43.0,103.3,64.6,6.2,36.4,32.0,2648.6,2,3,0,18.4,0,1,2
67.1,49.1,104.3,83.8,40.3,39.8,78.3,1382.7,2,1,0,15.5,0,5,1
28.2,93.6,198.7,84.3,22.5,37.1,42.2,2484.6,3,1,0,20.3,1,10,2
59.8,39.3,76.1,50.8,30.4,30.4,74.8,1486.6,3,5,0,17.2,0,1,1
51.8,15.7,17.1,59.0,34.3,38.5,95.6,1053.0,1,3,0,5.8,0,10,1
70.8,297.5,1077.0,95.0,25.6,29.5,14.0,1073.2,1,3,1,27.0,0,8,3
45.2,102.9,143.6,86.3,41.8,17.0,98.4,695.2,0,4,0,22.5,0,10,2
48.2,150.4,485.2,95.0,43.0,18.2,62.2,1576.6,2,5,0,18.3,0,9,3
72.0,54.8,100.3,73.4,7.4,18.7,18.9,2623.6,1,4,1,7.1,0,1,2
47.9,20.8,44.4,66.3,28.6,35.7,38.6,382.3,1,3,0,7.5,0,10,2
45.6,20.7,52.6,62.9,47.4,15.5,17.7,2017.6,3,4,1,8.6,0,1,2
9.3,48.9,112.1,65.5,31.5,42.2,26.9,1551.6,2,4,1,23.3,0,2,1
32.7,14.2,17.1,54.6,15.0,43.3,89.3,2405.8,2,1,0,13.5,0,11,0
67.3,14.4,29.3,58.0,22.7,19.9,85.2,1252.2,2,1,0,19.2,0,5,1
68.3,51.9,149.8,60.3,49.9,37.2,57.4,2977.4,1,2,0,5.3,0,5,1
77.7,197.2,567.2,95.0,23.7,28.4,8.2,1162.8,2,3,1,18.4,0,7,3
37.1,24.5,68.8,57.4,13.9,19.9,28.8,2960.9,1,1,1,13.2,0,2,1
44.6,217.5,740.5,95.0,49.3,37.6,37.8,1713.8,4,4,0,7.6,0,7,3
54.5,111.9,225.2,95.0,33.1,21.6,43.5,2322.0,1,3,0,9.8,0,9,2
44.4,11.6,14.2,49.2,15.6,16.6,29.8,2688.8,6,4,1,11.6,0,5,1
75.7,167.9,479.5,95.0,18.1,29.5,60.7,1954.0,1,3,0,17.9,0,6,3
53.1,6.3,10.5,58.8,37.8,16.0,15.5,2796.1,2,3,1,27.5,0,12,2
58.4,68.4,105.6,79.2,32.0,32.8,41.7,1676.4,0,1,0,24.9,0,1,2
48.3,58.7,119.3,74.4,24.9,21.2,83.3,1556.5,0,5,0,18.3,0,2,2
61.2,542.2,2020.7,95.0,10.9,28.2,81.5,2250.0,3,3,0,15.6,0,8,3
45.8,60.1,201.9,77.0,14.8,15.4,51.2,1199.7,1,3,0,30.1,1,8,2
80.9,7.1,7.4,35.7,42.8,41.2,91.7,1284.7,1,3,0,13.6,0,11,1
67.5,15.3,16.4,50.2,25.7,17.4,86.8,1986.0,2,4,0,16.5,0,12,1
45.3,9.8,23.8,55.5,37.4,36.6,96.1,2914.8,3,4,0,11.0,0,2,2
60.6,48.5,124.0,71.0,7.5,39.1,5.3,2905.1,1,2,1,18.7,0,3,2
28.0,59.7,144.8,78.4,8.2,25.7,67.2,1000.0,4,3,0,19.5,0,6,1
36.8,23.8,43.5,51.9,17.6,44.7,9.9,107.1,0,2,1,13.5,0,10,1
62.4,17.6,21.2,47.1,31.7,27.9,29.7,1074.3,1,3,1,25.0,0,5,1
28.3,59.4,154.8,78.9,28.3,29.3,33.6,2639.6,1,4,0,7.3,0,3,2
25.1,16.8,35.2,38.8,39.9,38.8,87.6,2469.5,0,3,0,3.9,0,3,0
24.8,79.5,140.8,95.0,31.5,43.1,21.2,1180.5,1,4,1,29.9,0,10,2
30.6,33.9,73.8,60.2,9.0,44.3,0.1,2805.4,3,2,1,15.7,0,4,1
70.5,215.4,938.1,95.0,25.4,25.2,74.3,1894.9,2,5,0,17.8,0,8,3
29.6,287.6,1373.1,95.0,41.2,23.6,50.8,1339.4,2,5,0,11.9,1,9,3
33.9,190.5,943.1,95.0,14.0,29.2,17.4,821.2,2,3,1,11.6,1,7,3
52.1,28.7,39.3,60.6,18.8,19.2,18.2,2734.9,1,4,1,18.7,0,1,2
39.2,152.1,434.9,95.0,28.6,44.8,94.6,1243.1,2,1,0,12.7,0,7,2
11.3,56.8,66.7,71.7,9.2,22.3,27.2,1570.1,3,1,1,10.4,0,3,1
78.9,74.1,360.0,68.2,25.3,38.1,50.7,1800.2,3,4,0,4.1,0,8,2
85.3,33.4,63.5,47.8,33.2,32.3,4.5,702.8,1,4,1,11.8,0,10,2
62.0,13.9,29.9,40.1,16.3,33.2,92.6,2223.6,1,2,0,26.1,0,1,1
61.9,41.5,79.4,64.5,9.6,33.9,9.1,909.5,2,3,1,14.6,0,5,2
56.5,58.0,88.1,71.7,26.1,43.4,32.9,2820.7,4,3,0,10.4,0,10,2
19.6,24.0,70.6,49.9,6.5,29.3,77.1,683.2,1,3,0,15.7,0,5,0
88.5,0.6,1.0,58.8,7.1,41.9,56.4,386.2,1,3,0,18.7,0,1,1
56.4,127.6,392.6,95.0,9.9,35.7,74.5,489.7,2,1,0,27.6,0,8,2
26.4,68.5,142.8,72.1,10.9,15.1,12.5,1837.9,2,3,1,23.6,0,3,2
30.5,151.9,351.0,95.0,27.5,16.2,99.1,2152.7,0,1,0,36.5,0,8,2
56.9,225.5,552.8,95.0,34.7,22.1,44.2,2481.9,1,3,0,14.0,0,6,3
45.3,56.0,115.6,61.7,16.0,23.9,37.6,2709.0,2,3,0,4.6,1,7,2
53.1,51.3,85.7,56.9,28.3,22.1,34.5,1139.8,5,4,0,14.3,0,5,2
24.5,180.2,457.9,95.0,43.7,39.1,57.1,1140.3,1,3,0,13.3,0,8,2
43.9,191.2,954.3,95.0,33.4,23.9,50.9,980.8,1,1,0,22.5,0,9,2
15.9,48.7,192.6,60.6,31.0,20.5,20.8,2058.8,2,5,1,15.7,0,8,1
45.0,45.1,105.9,78.5,38.0,29.5,85.7,2368.7,1,4,0,18.9,0,5,2
45.9,143.9,654.0,95.0,10.9,38.8,91.9,2369.7,4,3,0,16.9,0,7,3
79.4,83.4,213.3,76.3,37.3,35.7,38.0,216.9,2,2,0,37.8,0,2,2
29.8,195.5,632.7,95.0,21.5,16.6,13.4,230.3,2,3,1,12.0,0,8,3
53.7,35.2,87.7,52.5,23.9,19.4,17.7,2093.8,1,5,1,7.9,0,5,2
54.6,11.2,32.9,35.7,28.6,17.9,59.6,113.3,0,4,0,24.4,0,3,1
46.3,31.1,57.5,60.2,11.4,20.9,50.1,2907.7,1,3,0,17.9,0,4,1
33.9,50.6,51.4,74.6,17.5,19.7,73.8,1176.3,3,4,0,31.1,0,4,2
100.5,47.0,74.0,70.6,13.6,37.7,80.8,1126.2,0,4,0,13.8,0,3,2
33.6,41.9,90.4,61.7,30.9,42.6,45.1,113.7,2,4,0,14.3,0,4,1
31.1,208.0,526.4,95.0,45.8,24.9,85.1,1812.6,2,2,0,23.0,0,6,2
89.3,43.5,123.3,59.2,28.1,15.2,72.7,1776.4,3,2,0,26.5,0,3,1
11.7,39.0,43.2,61.9,10.9,18.6,16.0,1342.7,9,5,1,20.0,0,1,1
59.5,59.1,112.7,86.1,36.4,44.5,97.5,2281.6,3,3,0,11.7,0,5,2
30.4,171.9,718.3,95.0,39.7,25.3,47.1,240.1,2,1,0,20.5,0,8,2
74.9,33.1,52.7,73.4,44.1,30.3,24.2,2739.7,3,1,1,13.4,0,4,2
57.6,37.0,106.7,64.0,34.5,42.3,71.7,1678.7,1,4,0,27.2,0,2,2
76.9,19.9,24.0,46.8,45.4,29.5,53.8,2248.4,1,2,0,7.6,0,11,1
46.3,62.3,92.4,76.0,48.6,22.5,72.5,1010.8,3,1,0,9.6,0,11,2
90.9,38.4,88.4,76.7,32.4,15.5,83.9,1046.9,5,3,0,15.1,1,6,2
42.8,62.9,136.1,70.2,37.3,22.6,26.6,1949.9,0,3,1,4.3,1,4,2
68.5,30.1,51.0,70.3,38.0,18.7,21.5,442.5,1,3,1,24.0,0,3,2
55.7,32.6,85.2,60.6,16.8,28.9,78.9,2006.5,1,4,0,3.0,0,10,2
6.3,78.9,188.3,95.0,36.3,22.8,81.3,1115.9,2,4,0,14.0,0,11,2
41.2,75.5,217.6,69.8,36.9,21.7,96.5,1014.1,0,1,0,12.0,0,4,1
22.6,11.8,22.7,37.6,13.8,40.3,6.4,403.8,2,3,1,7.4,0,5,1
101.8,178.6,889.6,95.0,42.3,19.7,44.7,2781.8,3,4,0,14.3,0,6,3
48.5,75.8,86.5,85.0,5.3,32.7,9.7,1220.0,1,2,1,1.9,0,1,2
91.4,30.3,36.3,60.6,43.6,21.0,93.3,1220.0,1,5,0,5.9,0,4,2
26.6,152.3,546.2,95.0,35.5,23.2,33.8,1316.5,0,5,0,20.8,0,6,3
34.7,27.5,38.5,70.1,24.2,18.7,2.8,2570.9,3,4,1,17.3,0,5,2
55.0,89.3,410.3,95.0,7.3,32.5,11.5,385.4,2,3,1,23.9,0,8,3
12.4,77.7,145.1,92.4,39.4,43.4,61.4,143.0,2,3,0,11.1,0,2,1
50.2,24.6,62.6,60.5,14.0,23.2,91.6,665.2,2,2,0,8.0,1,12,2
48.6,44.8,109.8,69.0,46.4,20.7,98.6,587.5,1,5,0,18.2,1,4,2
80.0,65.1,96.7,72.3,19.9,31.6,16.9,1773.8,2,3,1,4.6,0,11,2
43.6,300.8,1255.2,95.0,14.6,44.8,33.8,1354.8,2,5,0,14.0,0,8,3
20.9,397.4,1253.9,95.0,15.5,43.0,93.5,2060.9,1,3,0,29.4,0,8,2
60.5,292.3,674.9,95.0,24.5,25.0,77.5,1691.7,3,3,0,13.6,1,9,3
31.5,23.2,64.4,63.8,33.8,18.6,6.9,1972.3,4,1,1,6.9,0,3,1
60.4,23.8,37.2,50.7,13.4,18.3,66.3,2268.8,2,2,0,27.2,0,12,1
24.7,85.3,348.0,77.4,39.9,33.4,33.2,2560.7,2,2,0,39.1,0,7,2
61.2,221.2,521.4,95.0,10.8,42.1,22.0,1226.1,1,5,1,12.9,1,9,3
6.2,42.6,75.4,69.9,42.0,19.6,97.4,1989.5,0,3,0,28.3,0,11,0
86.2,38.1,42.9,67.0,42.1,23.5,46.2,2482.3,2,3,0,15.0,0,3,1
69.0,47.5,53.4,75.8,26.7,28.2,70.1,275.8,3,4,0,26.7,0,1,2
61.6,38.7,63.5,50.6,17.5,34.6,91.3,2103.2,2,3,0,17.3,0,3,1
59.7,43.7,58.9,69.4,49.3,28.4,52.2,2496.6,4,5,0,24.8,0,2,2
15.5,207.8,613.2,95.0,10.7,20.4,69.8,2341.6,3,5,0,10.6,0,8,2
55.4,328.1,1429.0,95.0,30.2,28.2,69.8,2695.9,1,2,0,17.5,0,9,3
32.2,18.2,53.1,64.0,11.1,25.6,1.8,2215.8,0,3,1,15.3,0,10,1
65.1,34.2,90.9,63.7,41.6,32.2,33.2,416.2,2,2,0,11.9,0,1,1
39.8,30.4,76.0,49.9,45.7,15.5,2.6,1402.0,1,3,1,18.0,0,1,1
69.1,26.4,69.1,52.4,21.7,35.8,22.9,2542.5,5,3,1,8.4,0,10,1
33.3,32.1,98.1,50.2,34.7,19.9,81.3,2408.2,1,4,0,5.2,0,6,1
60.7,28.6,115.5,52.0,38.7,26.3,76.8,2309.2,4,3,0,7.1,0,9,1
52.6,85.0,222.0,86.2,28.5,31.1,96.3,1926.5,2,3,0,13.5,0,4,2
43.0,41.9,63.0,64.1,17.7,18.1,45.4,1919.6,1,2,0,11.0,0,1,1
41.6,37.7,52.4,54.6,41.4,42.8,89.4,2518.2,1,3,0,7.4,1,2,1
33.2,18.4,40.2,57.3,22.5,16.6,82.1,1077.5,0,1,0,17.9,0,10,0
77.1,32.7,58.9,47.4,18.9,32.6,1.3,1984.9,0,3,1,17.4,1,2,2
26.3,65.6,145.0,79.4,23.2,34.0,3.5,1956.2,3,3,1,2.9,0,9,2
59.3,117.8,285.0,95.0,31.4,44.5,56.9,2760.2,4,3,0,15.8,0,6,2
16.0,44.0,103.2,64.8,13.6,24.2,49.4,2850.9,1,4,0,24.3,0,3,1
57.2,52.1,59.4,83.9,25.3,40.3,34.0,1728.3,1,2,0,11.0,0,1,2
8.6,143.6,646.9,95.0,47.4,30.7,11.1,1106.9,1,3,1,1.6,0,9,2
32.8,53.1,68.1,61.2,10.2,37.4,96.1,801.1,0,2,0,22.8,0,12,1
52.8,41.2,58.9,55.8,49.8,32.5,72.4,556.1,3,3,0,21.5,0,4,1
22.0,15.3,22.5,63.4,44.2,30.9,91.5,1563.8,4,3,0,20.4,1,1,1
71.3,42.1,74.2,74.6,41.7,15.3,25.2,192.9,2,4,1,8.2,0,4,2
33.3,46.4,72.3,58.5,34.7,38.1,17.5,832.1,0,1,1,2.4,0,12,1
33.1,23.0,46.6,45.9,31.2,28.1,97.3,375.4,5,5,0,4.8,0,10,1
13.1,46.2,89.3,59.2,11.7,44.1,92.2,1001.8,3,5,0,4.8,0,12,0
45.4,23.5,36.9,55.6,19.0,19.4,75.7,949.8,4,3,0,17.9,0,1,1
61.6,37.1,103.4,71.3,20.7,20.2,44.2,480.1,1,1,0,10.5,0,11,1
48.3,34.8,47.5,72.0,10.4,22.4,57.4,1316.8,3,3,0,6.5,1,4,2
38.5,27.5,60.5,51.5,39.9,40.9,35.2,2341.4,4,4,0,7.6,0,10,1
26.1,59.8,110.8,84.0,26.6,34.3,33.6,266.7,1,5,0,7.7,0,4,2
57.5,32.5,41.8,73.0,13.0,30.3,60.1,1987.4,1,1,0,30.5,0,1,1
60.4,17.7,46.4,43.2,18.5,28.5,61.4,788.3,1,4,0,9.2,1,5,2
76.0,211.7,447.6,95.0,13.6,17.9,58.1,2222.4,1,2,0,24.8,0,7,3
66.0,164.5,697.9,95.0,16.1,32.0,1.1,2931.8,2,1,1,21.4,0,6,3
55.9,206.9,849.5,95.0,14.6,26.6,83.7,2378.5,2,3,0,27.9,0,7,3
64.6,37.7,86.8,60.3,11.4,15.2,64.0,2809.6,4,4,0,6.4,0,3,2
19.8,32.8,40.7,53.8,8.7,25.9,60.9,1469.1,1,3,0,12.4,0,4,0
10.6,54.2,80.6,72.3,38.3,42.3,85.0,2341.7,2,5,0,19.9,0,11,1
72.1,230.4,1108.1,95.0,7.6,32.0,63.9,1088.3,3,2,0,12.6,0,7,3
24.5,41.8,96.8,73.7,36.4,24.7,39.5,2859.7,2,3,0,14.8,1,11,2
32.5,181.7,668.3,95.0,24.4,40.3,6.4,764.8,4,2,1,11.5,0,9,3
10.2,51.5,200.0,77.2,6.0,43.1,73.7,1056.1,3,3,0,18.5,1,7,2
33.9,75.0,153.2,95.0,11.2,38.4,91.4,1187.3,3,2,0,12.0,0,11,2
80.0,33.6,67.8,69.6,16.5,40.8,38.2,1907.3,3,3,0,6.2,0,10,2
37.6,1.5,2.7,34.6,30.7,22.5,33.8,1099.3,3,1,0,14.0,0,11,1
16.1,39.3,106.5,73.0,12.0,26.1,70.6,1298.6,6,5,0,16.9,0,5,1
52.4,29.2,72.1,65.4,44.0,40.3,15.0,1959.9,3,4,1,5.7,0,2,2
57.8,118.5,262.9,95.0,37.6,39.7,83.2,2546.9,3,2,0,13.9,0,6,2
37.2,35.7,88.0,69.3,22.5,21.4,84.5,2773.7,4,4,0,18.6,0,4,1
44.6,176.3,358.7,95.0,42.7,37.7,63.6,1691.4,1,5,0,9.4,0,7,3
29.2,125.4,616.4,95.0,8.9,42.2,44.0,1431.5,3,5,0,27.5,0,9,2
16.4,31.0,65.2,68.8,47.9,29.6,28.2,238.2,2,4,1,11.0,0,12,1
20.1,358.4,1171.7,95.0,22.7,31.5,47.8,2083.6,1,3,0,18.1,0,9,2
30.6,41.7,93.3,55.9,44.7,24.8,67.0,2777.9,3,3,0,11.4,0,2,1
31.1,154.8,641.9,95.0,15.0,31.9,45.8,648.6,0,3,0,12.6,0,6,2
65.2,24.9,38.4,69.6,22.0,17.8,66.3,1264.6,1,3,0,14.4,0,4,1
52.9,40.1,92.1,51.8,6.0,28.4,92.6,1953.9,1,3,0,7.8,0,3,1
88.2,208.0,597.7,95.0,34.9,25.5,87.8,2978.0,1,5,0,18.8,0,7,3
54.1,27.1,77.2,65.1,18.6,40.9,31.3,2929.4,3,4,0,22.9,0,10,2
60.7,31.9,79.7,55.0,20.0,36.6,37.0,1992.4,5,5,0,34.8,1,11,2
57.7,76.2,147.2,94.8,38.3,38.1,65.1,2773.0,1,3,0,4.2,1,10,2
40.7,14.5,15.3,66.6,8.1,36.8,27.0,1541.6,2,3,1,25.3,0,12,1
37.0,41.2,85.5,75.3,37.3,34.1,14.3,2753.4,0,5,1,13.9,1,10,2
58.2,101.4,256.6,95.0,38.1,43.3,17.7,2181.2,1,4,1,9.1,0,6,3
54.0,56.9,103.1,82.8,40.5,43.2,94.1,2122.0,1,2,0,17.9,0,1,2
63.2,22.1,58.3,44.2,49.7,31.9,12.5,141.3,1,3,1,7.1,0,2,2
47.8,54.0,99.1,77.8,42.7,20.1,48.3,1701.1,1,1,0,18.3,0,3,2
27.4,9.4,27.5,56.1,34.5,43.5,97.8,2747.7,2,5,0,3.2,0,2,1
69.4,59.8,173.7,79.5,6.6,27.2,13.0,1718.8,3,2,1,15.6,0,3,2
37.2,16.7,22.1,50.0,46.1,27.4,38.7,2762.4,3,2,0,11.1,0,1,1
55.1,48.2,119.1,63.4,8.1,37.6,60.2,2613.1,0,5,0,25.6,0,2,2
17.8,27.6,80.1,55.0,16.0,16.0,59.5,2519.2,1,1,0,6.9,1,3,0
37.0,37.4,104.9,49.3,39.3,24.0,50.2,2228.0,3,4,0,5.5,0,1,1
23.2,139.9,684.6,95.0,15.7,24.1,78.8,548.2,2,1,0,19.6,0,7,2
79.5,13.9,27.5,58.3,30.1,18.1,26.1,496.2,0,2,1,19.0,0,10,1
32.0,62.0,291.7,74.2,38.7,38.2,61.8,643.5,3,1,0,17.3,0,9,1
27.5,32.8,79.6,60.0,19.9,27.7,16.9,519.2,3,4,1,22.0,0,2,2
58.0,14.8,28.7,66.1,11.4,18.2,19.8,2821.6,2,4,1,24.2,0,3,2
53.5,51.3,63.0,62.8,38.9,27.6,57.4,2602.9,4,2,0,12.0,0,3,1
68.6,66.2,169.7,77.7,32.2,33.0,57.0,1501.8,1,4,0,21.8,1,2,3
56.6,5.7,14.2,39.0,40.7,23.3,20.9,2093.9,0,3,1,5.2,0,4,1
61.6,512.8,2502.8,95.0,10.2,30.0,12.6,2752.1,2,4,1,13.2,1,9,3
35.9,42.8,124.4,70.4,13.1,42.2,88.0,1282.1,2,3,0,39.9,0,4,1
24.0,51.2,59.0,73.1,7.5,39.5,58.5,2625.5,1,5,0,13.8,1,2,2
69.4,40.1,116.5,78.9,41.6,23.8,37.5,1269.9,1,1,0,24.2,0,3,2
26.9,36.5,54.2,75.1,48.1,34.6,15.2,1650.1,2,1,1,16.4,0,12,1
33.5,178.4,648.5,95.0,14.3,28.5,63.3,1988.2,3,4,0,18.4,0,7,3
54.0,26.5,113.6,54.3,14.5,38.0,86.8,405.9,1,4,0,8.5,1,6,2
62.3,168.3,406.0,95.0,47.4,36.0,57.9,651.3,4,3,0,9.0,0,6,3
68.7,13.7,21.4,43.5,48.9,30.0,21.6,483.5,1,2,1,8.2,1,10,2
29.7,65.0,162.3,69.7,44.8,16.6,54.0,356.4,1,4,0,4.3,0,3,2
59.0,225.5,1027.7,95.0,31.4,43.3,7.7,1139.8,1,5,1,20.2,0,6,3
46.5,49.1,52.4,68.7,29.0,19.2,49.0,954.7,3,1,0,10.9,0,3,1
19.1,55.5,67.5,62.4,12.6,16.5,21.9,1724.1,0,2,1,9.7,0,3,1
61.5,21.7,55.1,57.8,30.6,33.3,14.8,945.3,4,3,1,16.8,0,10,2
62.9,4.9,13.0,55.2,46.9,29.3,61.4,284.1,2,2,0,9.9,1,10,2
48.6,284.1,1374.9,95.0,26.2,34.4,50.1,343.4,1,4,0,16.3,0,7,3
26.5,206.2,783.0,95.0,49.7,28.9,56.6,626.7,1,1,0,13.2,1,7,3
59.4,105.5,386.9,95.0,42.7,43.8,17.9,674.8,0,3,1,15.1,1,7,3
57.0,68.2,189.0,90.1,19.0,30.8,30.9,2647.4,2,2,0,19.5,0,10,2
67.2,82.3,247.6,86.7,6.5,24.2,1.5,888.3,4,5,1,9.3,0,9,3
17.8,23.3,50.0,57.1,25.9,30.7,59.8,831.5,2,2,0,18.2,0,1,0
70.9,39.1,69.2,67.9,8.2,27.9,13.4,1041.0,1,5,1,20.7,0,11,2
68.6,13.5,32.2,55.5,33.1,26.2,32.2,1243.1,1,2,0,4.5,0,12,1
63.1,99.7,444.3,87.1,37.0,32.2,21.2,1752.0,1,1,1,9.8,0,8,2
62.0,220.2,698.8,95.0,49.3,24.2,74.6,600.3,2,1,0,19.8,0,7,3
33.8,24.6,46.3,49.8,26.6,19.8,28.3,718.4,3,3,1,14.3,0,12,1
55.9,33.8,62.7,53.6,12.8,29.6,22.2,1849.6,5,4,1,13.3,0,4,2
47.6,110.6,312.4,90.9,48.1,36.1,5.3,2790.2,0,5,1,13.2,0,7,3
43.0,136.0,553.2,95.0,5.1,32.5,62.2,717.9,6,5,0,15.6,0,8,3
93.8,45.4,103.6,75.1,26.4,36.7,97.1,626.7,0,3,0,5.0,0,3,2
15.0,27.0,47.0,67.6,26.0,42.0,1.7,1689.3,2,2,1,17.4,0,12,1
19.5,12.6,17.2,64.5,16.8,26.2,6.9,1922.5,1,5,1,4.8,0,5,1
56.6,82.8,239.6,90.7,40.2,26.6,99.2,878.2,0,5,0,12.8,0,12,2
103.0,16.4,31.8,38.6,11.8,23.2,19.8,1147.9,1,3,1,8.5,0,4,2
44.8,41.4,44.6,67.2,27.3,41.9,72.3,1490.8,2,3,0,12.8,0,4,1
50.2,127.7,513.4,95.0,28.5,40.2,51.8,2923.4,1,3,0,14.5,1,6,3
40.3,33.9,38.6,57.7,7.2,25.5,40.9,601.9,2,3,0,14.1,0,12,1
38.7,26.3,57.3,60.9,9.8,34.0,17.5,955.4,4,2,1,25.2,0,2,1
