rainfall_mm,rainfall_7day_avg,rainfall_intensity,river_level_m,river_level_change,soil_moisture_percent,elevation_m,temperature_celsius,humidity_percent,wind_speed_kmh,distance_to_river_km,month,risk_level
66.54,88.33,2.77,7.44,0.077,73.0,144.8,27.6,68.9,17.6,8.88,2,1
48.53,55.05,2.02,5.64,0.058,61.1,174.3,25.5,86.2,11.4,15.34,10,0
1.44,1.64,0.06,4.64,-0.02,58.8,316.7,26.7,63.8,20.0,12.48,4,0
39.73,33.21,1.66,3.61,0.035,58.2,242.3,23.8,62.2,19.9,12.97,8,0
30.81,22.93,1.28,4.13,0.006,63.3,100.9,33.8,85.2,30.6,14.3,2,0
75.5,58.7,3.15,5.2,0.089,76.1,249.7,32.2,75.6,37.1,3.39,7,1
71.33,91.6,2.97,7.73,0.116,76.0,48.7,31.0,86.2,19.2,8.08,5,1
43.24,54.21,1.8,4.98,0.089,62.5,272.7,19.1,70.5,9.3,7.35,4,0
132.96,106.64,5.54,5.76,0.054,95.0,242.6,24.0,83.9,17.5,12.2,7,1
27.4,35.45,1.14,3.9,0.073,60.4,172.3,25.5,77.5,22.3,10.58,11,0
167.33,125.29,6.97,8.96,0.116,95.0,294.7,24.1,86.6,17.6,3.81,7,2
33.2,37.86,1.38,6.07,0.068,55.0,176.0,28.2,74.5,26.9,11.54,1,0
281.2,237.51,11.72,8.61,0.208,95.0,202.7,25.0,95.0,9.2,8.01,6,2
61.76,63.01,2.57,9.17,0.096,79.2,41.3,30.4,79.3,27.3,11.38,9,1
151.86,141.19,6.33,10.04,0.115,95.0,188.1,29.8,87.5,31.6,8.99,4,2
69.4,83.03,2.89,8.01,0.049,70.6,256.2,25.0,65.5,25.9,4.12,2,1
27.46,30.3,1.14,6.32,0.102,64.1,113.4,24.2,79.0,31.6,3.33,10,0
146.07,118.98,6.09,8.68,0.114,95.0,294.4,28.2,95.0,21.2,6.3,9,2
270.42,221.03,11.27,11.7,0.232,95.0,202.1,29.5,95.0,35.2,3.78,7,2
77.33,95.11,3.22,8.87,0.098,68.4,273.1,26.3,91.7,7.6,6.29,3,1
75.0,57.79,3.13,5.21,0.085,77.7,171.2,31.9,88.8,55.5,6.14,11,1
70.06,88.11,2.92,5.94,0.073,65.6,230.8,30.4,84.4,18.4,9.78,3,0
63.04,50.8,2.63,9.04,0.049,62.1,139.8,28.5,76.5,7.7,2.66,3,1
159.33,143.39,6.64,6.62,0.174,95.0,214.0,34.8,95.0,18.5,8.95,9,1
47.48,58.34,1.98,8.29,0.075,61.0,81.7,26.1,85.4,17.0,7.58,10,0
259.91,216.83,10.83,8.07,0.223,95.0,88.9,26.8,95.0,27.1,5.97,6,2
248.38,195.33,10.35,7.52,0.172,95.0,104.4,31.7,95.0,37.3,11.05,9,2
117.5,125.56,4.9,10.61,0.111,94.3,140.9,28.0,76.4,21.7,23.18,6,2
55.59,44.33,2.32,3.34,0.051,62.2,77.6,23.5,74.3,51.5,4.71,11,0
13.35,19.53,0.56,1.57,-0.033,50.9,176.7,23.8,56.4,23.8,6.92,3,0
61.67,47.01,2.57,9.55,0.076,63.9,204.9,26.4,90.4,40.6,9.96,1,1
407.09,449.01,16.96,17.55,0.428,95.0,116.6,22.9,95.0,16.1,12.03,7,2
20.7,21.34,0.86,2.52,0.012,47.8,104.3,29.6,77.0,25.5,10.7,10,0
123.69,162.58,5.15,7.46,0.07,91.9,303.9,36.4,95.0,25.0,12.86,7,2
57.48,67.66,2.39,7.07,0.008,63.1,94.1,26.8,82.4,25.1,9.3,6,1
27.86,30.03,1.16,2.25,-0.084,53.3,76.9,30.1,77.3,10.3,11.18,1,0
28.8,27.02,1.2,2.05,-0.02,55.8,301.2,27.8,78.0,29.0,12.58,9,0
138.25,177.38,5.76,5.28,0.061,95.0,22.9,29.7,95.0,11.7,8.13,8,2
23.86,30.9,0.99,6.15,-0.057,67.2,161.8,24.4,71.8,32.7,10.44,11,0
53.8,53.29,2.24,8.0,0.051,72.8,334.1,30.3,72.8,23.0,2.49,3,1
130.54,110.84,5.44,7.69,0.05,89.4,239.8,28.9,95.0,38.7,10.42,7,2
71.9,91.01,3.0,3.92,0.017,68.1,17.6,27.4,84.3,30.6,14.16,1,1
85.83,93.89,3.58,7.67,0.061,74.8,384.0,32.4,70.4,32.0,4.26,4,1
33.68,46.6,1.4,5.25,0.05,54.9,97.7,29.7,75.8,11.0,9.26,5,0
69.39,87.68,2.89,8.08,0.021,68.4,165.8,32.3,88.5,21.7,5.85,5,1
16.03,13.46,0.67,7.13,0.037,57.0,46.3,29.2,63.1,10.8,6.08,3,1
39.89,38.6,1.66,6.47,0.056,57.0,101.8,25.8,66.3,18.5,7.88,12,0
237.27,220.74,9.89,11.25,0.204,95.0,209.0,28.6,95.0,21.6,6.58,7,2
45.31,40.29,1.89,5.05,0.006,57.2,237.3,27.5,82.1,17.0,5.95,5,0
51.51,53.57,2.15,5.71,0.059,76.0,58.0,35.0,86.1,21.5,7.86,11,1
209.54,185.47,8.73,9.32,0.204,95.0,244.0,39.0,95.0,10.9,6.72,8,2
54.52,59.35,2.27,9.49,0.084,63.2,213.9,36.8,63.9,24.4,7.85,12,1
22.47,28.01,0.94,7.03,-0.024,59.1,232.6,28.8,81.5,15.4,13.02,5,0
61.1,75.51,2.55,6.55,0.089,63.5,96.4,22.1,92.1,14.8,13.04,2,0
93.99,75.6,3.92,4.69,0.061,82.6,18.7,33.9,95.0,16.5,10.03,1,1
173.71,138.38,7.24,11.1,0.135,95.0,196.6,22.7,91.2,31.4,8.15,6,2
44.48,57.42,1.85,1.77,-0.025,60.9,539.3,24.9,70.2,26.6,13.57,3,0
51.37,44.95,2.14,4.4,0.018,69.3,209.9,33.7,69.3,13.5,1.83,5,0
50.21,69.92,2.09,7.57,0.088,58.3,154.4,25.6,64.0,27.9,10.26,10,1
106.94,148.16,4.46,7.5,0.112,90.0,247.0,19.4,94.1,31.6,6.07,8,2
16.54,18.85,0.69,4.58,0.003,62.0,102.0,29.3,62.0,27.2,16.08,2,0
29.52,37.56,1.23,8.23,0.016,66.3,97.5,25.3,69.4,14.4,2.2,2,1
20.98,30.82,0.87,6.12,0.013,47.9,47.8,28.3,67.9,19.0,11.0,3,0
243.95,275.28,10.16,10.63,0.241,95.0,167.8,27.0,95.0,15.4,17.49,8,2
29.71,28.5,1.24,8.86,0.048,61.7,256.3,31.4,66.7,7.0,9.22,12,0
16.98,25.02,0.71,8.81,0.047,63.9,164.7,20.6,58.2,41.7,10.26,12,0
27.19,34.01,1.13,7.45,0.04,68.2,204.7,26.7,59.3,22.4,1.34,1,1
40.92,38.32,1.71,2.52,-0.001,70.7,182.5,29.5,65.4,12.0,7.56,9,0
34.29,46.22,1.43,4.14,0.03,56.6,134.1,21.8,85.9,29.0,6.88,3,0
201.41,213.51,8.39,10.47,0.122,95.0,150.9,34.4,95.0,21.7,5.48,7,2
52.48,74.07,2.19,3.47,0.021,59.9,56.4,25.0,82.9,24.4,6.99,4,0
19.74,29.22,0.82,6.95,0.104,66.2,167.1,22.0,56.6,15.3,10.05,12,0
386.07,392.38,16.09,13.51,0.308,95.0,416.4,33.1,95.0,12.1,1.53,6,2
17.17,15.3,0.72,5.27,0.083,50.1,130.0,25.1,77.4,8.6,20.82,2,0
75.7,79.17,3.15,2.97,0.018,69.9,299.6,30.0,70.4,30.0,7.16,6,0
48.08,50.83,2.0,8.01,0.068,68.2,286.3,23.4,67.9,16.8,10.08,11,0
34.33,39.05,1.43,6.53,0.01,60.4,221.8,27.8,58.4,20.8,7.1,11,0
340.36,430.93,14.18,10.09,0.311,95.0,144.4,30.3,95.0,20.5,11.38,7,2
151.66,211.25,6.32,6.99,0.083,95.0,747.7,24.4,95.0,24.3,6.38,7,1
70.09,56.3,2.92,6.48,0.001,75.8,119.3,32.3,75.6,38.2,8.66,11,1
42.75,61.82,1.78,7.77,0.026,63.5,280.2,23.0,60.8,15.2,13.17,10,0
306.85,416.54,12.79,11.14,0.219,95.0,587.7,29.4,95.0,33.0,2.61,6,2
22.48,24.17,0.94,6.63,-0.039,58.0,201.6,32.2,65.2,27.4,6.38,10,0
37.89,36.93,1.58,7.19,0.049,72.1,511.7,25.1,72.6,14.5,13.61,6,1
204.2,232.88,8.51,7.79,0.193,95.0,278.8,30.7,93.6,28.0,6.95,9,2
13.38,9.98,0.56,5.89,0.015,60.9,116.0,25.6,53.5,28.1,5.83,4,0
59.5,84.16,2.48,8.31,0.091,65.9,270.1,23.6,72.2,20.2,5.61,12,1
58.33,73.65,2.43,7.71,0.029,72.3,229.7,31.0,66.7,18.5,6.11,10,1
84.88,92.25,3.54,3.11,0.043,83.4,209.3,25.4,92.0,28.7,6.39,6,0
59.6,55.66,2.48,5.83,0.086,64.9,307.3,20.2,81.6,27.4,8.27,5,0
49.98,42.59,2.08,5.35,0.009,73.0,160.1,27.8,63.2,18.5,7.55,4,0
63.9,49.17,2.66,3.43,0.0,65.7,19.0,25.5,75.7,13.5,2.46,4,1
38.16,47.3,1.59,9.39,0.063,54.9,334.7,25.4,70.5,15.8,7.94,1,0
24.53,35.63,1.02,8.84,0.047,57.7,270.1,22.6,65.4,23.9,2.06,1,1
27.02,36.7,1.13,2.88,-0.022,60.9,24.6,34.9,80.0,67.9,10.27,4,0
44.62,39.69,1.86,4.02,0.063,74.6,63.9,33.2,65.3,21.3,9.43,4,0
180.72,217.54,7.53,7.54,0.127,95.0,38.7,31.3,95.0,28.7,11.93,9,2
68.08,67.3,2.84,6.79,0.011,74.3,52.2,28.0,74.0,26.8,11.68,12,1
40.8,49.12,1.7,4.59,0.003,68.3,144.7,25.3,83.7,29.1,10.15,12,0
235.47,283.9,9.81,7.9,0.137,95.0,174.9,28.5,95.0,12.4,9.37,8,2
115.82,157.97,4.83,7.41,0.122,92.0,162.1,26.4,83.9,58.1,7.14,8,2
17.35,24.21,0.72,8.57,0.048,47.4,82.1,33.9,68.1,39.6,10.25,1,0
21.56,16.8,0.9,7.65,0.08,51.6,105.2,26.9,66.9,12.5,15.08,3,0
208.39,251.08,8.68,8.69,0.1,95.0,398.8,25.4,91.8,11.3,11.7,8,2
69.39,103.42,2.89,6.62,0.095,67.4,90.8,32.5,64.5,41.2,4.31,9,0
8.62,10.72,0.36,6.93,-0.001,58.7,114.3,27.2,62.8,33.0,6.36,3,0
44.15,49.28,1.84,3.34,0.047,68.5,92.7,25.7,75.1,35.5,7.6,5,0
63.33,51.93,2.64,8.37,0.131,61.5,341.3,31.9,79.7,39.9,1.1,5,1
56.03,79.7,2.33,7.94,0.069,61.2,195.0,32.1,77.3,25.0,9.45,5,1
103.46,135.54,4.31,7.87,0.098,93.2,172.8,24.4,90.8,23.7,11.49,9,2
43.74,33.79,1.82,3.92,0.014,67.0,203.9,29.2,65.8,32.5,7.37,10,0
30.62,22.52,1.28,3.34,-0.017,59.3,312.3,27.5,70.4,15.8,2.57,1,0
57.4,55.84,2.39,7.54,0.029,70.2,276.2,27.4,88.7,23.0,13.1,4,1
44.86,65.48,1.87,4.58,0.031,61.1,75.0,22.9,69.7,29.1,8.1,9,0
15.74,17.28,0.66,3.64,-0.001,58.5,130.1,28.7,81.5,36.6,8.38,4,0
68.27,57.82,2.84,6.98,0.002,68.4,139.8,26.8,67.4,26.7,2.48,10,1
78.59,71.98,3.27,8.66,0.102,67.2,22.8,23.3,89.3,16.7,30.7,11,1
51.09,43.97,2.13,7.7,0.017,69.4,244.6,24.0,76.2,29.7,8.93,12,1
284.43,237.35,11.85,13.1,0.334,95.0,199.3,27.1,95.0,20.1,1.25,8,2
141.89,155.34,5.91,8.97,0.059,95.0,172.4,27.0,89.5,24.1,5.0,11,2
71.39,68.92,2.97,7.3,0.04,66.0,105.2,44.2,67.0,9.2,3.97,3,1
199.77,289.66,8.32,9.68,0.147,95.0,47.3,25.5,95.0,15.2,7.97,8,2
22.84,23.34,0.95,1.7,-0.025,55.6,200.0,28.0,65.6,11.8,6.83,10,0
29.3,39.48,1.22,4.91,0.026,59.6,105.6,19.1,60.6,16.9,11.19,2,0
317.49,246.34,13.23,12.48,0.301,95.0,179.8,31.2,95.0,13.3,5.14,7,2
68.12,49.71,2.84,8.8,0.054,73.1,118.9,32.1,89.5,26.3,7.98,8,1
55.03,41.41,2.29,8.15,0.119,63.5,215.6,32.2,77.9,30.8,9.01,11,1
18.84,14.73,0.78,5.34,0.005,61.2,480.0,25.9,62.6,28.0,21.86,1,0
46.61,49.13,1.94,5.29,0.016,64.4,127.0,33.2,70.2,24.4,10.42,2,0
62.68,72.05,2.61,5.39,0.063,75.0,69.2,25.8,82.6,21.7,6.37,9,1
2.96,3.77,0.12,3.66,-0.065,55.9,64.5,28.2,58.0,26.3,5.07,10,0
74.04,103.25,3.08,4.9,0.017,84.7,31.2,31.7,78.2,28.8,8.35,11,1
91.7,68.95,3.82,6.44,0.069,79.7,165.0,21.6,93.2,20.5,5.82,2,1
176.21,197.46,7.34,10.44,0.172,95.0,54.2,28.4,95.0,25.7,10.15,8,2
111.0,85.52,4.62,7.53,0.127,95.0,137.2,32.3,95.0,31.9,5.89,7,2
44.32,62.53,1.85,4.99,0.042,73.6,81.8,20.1,64.8,17.1,10.09,2,0
225.92,206.84,9.41,11.45,0.172,95.0,159.6,24.5,95.0,21.3,9.42,9,2
68.44,90.32,2.85,5.75,0.016,65.3,136.5,28.5,64.7,23.0,7.43,10,0
41.03,38.18,1.71,6.44,0.034,65.7,153.5,25.9,87.7,32.1,7.8,11,0
46.81,34.84,1.95,6.87,0.068,72.1,298.4,32.8,74.9,16.6,13.04,11,0
57.5,56.8,2.4,5.53,0.046,75.9,80.5,21.0,68.6,17.8,7.41,5,1
10.59,9.29,0.44,6.62,-0.003,45.2,321.4,27.9,72.6,21.1,16.02,4,0
5.16,7.14,0.22,5.09,-0.029,52.5,262.8,30.7,71.3,38.7,11.53,12,0
54.33,74.62,2.26,7.21,0.079,75.9,186.9,23.3,89.9,17.4,8.77,12,1
196.15,175.07,8.17,9.57,0.129,95.0,94.1,32.5,95.0,10.7,3.29,9,2
21.67,18.35,0.9,5.48,0.001,61.2,165.6,24.0,54.5,23.3,7.48,10,0
114.87,85.93,4.79,6.56,0.096,91.5,419.7,31.2,83.2,20.9,6.75,5,1
17.67,22.19,0.74,3.63,-0.086,64.1,159.1,26.5,70.1,32.4,11.71,11,0
76.78,61.67,3.2,6.58,0.057,83.0,201.5,29.6,87.2,14.2,1.58,9,1
19.77,22.13,0.82,7.01,0.046,66.0,57.2,30.9,67.1,29.6,8.83,10,1
62.54,66.62,2.61,6.34,0.028,74.4,150.1,22.0,77.4,21.9,4.95,2,1
221.44,170.74,9.23,10.65,0.144,95.0,111.8,25.8,95.0,20.6,2.94,6,2
49.62,46.87,2.07,3.27,0.035,72.4,165.5,30.6,84.8,23.9,7.09,2,0
172.54,156.8,7.19,13.55,0.262,95.0,174.8,34.5,95.0,15.0,8.79,8,2
60.1,59.17,2.5,8.65,0.075,74.9,115.2,21.1,89.9,24.5,10.12,10,1
107.88,113.37,4.49,5.94,0.11,80.8,185.6,24.8,93.9,16.8,15.48,8,1
46.38,68.14,1.93,6.26,-0.024,74.1,82.8,27.1,59.4,25.9,11.95,6,0
68.4,82.86,2.85,9.04,0.08,71.5,337.6,29.4,79.2,15.6,5.46,1,1
53.78,62.27,2.24,8.07,0.003,61.1,82.1,24.1,90.0,24.7,13.83,12,1
32.34,43.51,1.35,4.2,0.079,53.9,70.9,29.7,69.3,23.4,4.47,10,0
69.87,101.38,2.91,8.4,0.065,79.8,121.9,32.6,72.5,37.3,6.08,12,1
8.14,9.47,0.34,6.5,0.031,58.5,362.4,19.3,57.0,6.9,11.08,11,0
55.61,44.75,2.32,4.37,0.04,68.9,563.4,35.4,67.0,20.4,8.93,11,0
49.49,49.99,2.06,4.75,0.034,64.3,148.6,30.3,77.6,30.1,7.09,5,0
157.77,149.55,6.57,9.26,0.176,95.0,189.9,26.8,95.0,35.5,4.29,9,2
23.69,33.81,0.99,8.28,0.022,54.0,94.0,24.8,69.8,18.1,12.19,11,0
74.61,80.77,3.11,6.46,0.141,65.5,25.3,27.5,65.1,29.2,10.92,6,1
28.74,30.7,1.2,7.8,0.017,59.4,389.8,30.6,68.4,11.1,3.55,1,0
57.97,76.06,2.42,6.15,0.084,66.9,256.9,25.4,81.0,23.9,9.49,12,0
79.11,81.45,3.3,11.19,0.149,67.2,184.9,32.6,75.4,14.3,10.16,4,1
23.38,17.29,0.97,7.26,0.077,53.9,202.0,25.5,63.4,25.1,1.2,3,1
112.04,100.2,4.67,9.62,0.09,95.0,191.1,24.4,87.7,27.5,5.1,11,2
35.46,28.41,1.48,9.17,0.088,61.2,146.5,23.2,73.5,24.6,4.61,12,0
54.77,67.8,2.28,5.27,0.009,64.8,240.7,33.3,72.0,36.5,8.27,9,0
9.66,13.93,0.4,6.31,0.035,50.1,114.5,29.0,74.9,16.0,9.02,1,0
41.21,51.13,1.72,5.87,0.099,54.2,185.2,31.2,65.1,22.0,9.22,3,0
61.66,67.5,2.57,3.45,0.05,63.6,173.9,28.5,75.7,24.8,8.72,3,0
46.49,42.43,1.94,6.09,0.023,74.2,148.9,28.0,63.4,26.3,12.67,12,0
285.16,311.5,11.88,7.8,0.212,95.0,430.9,31.0,95.0,18.1,9.14,9,2
21.94,31.58,0.91,5.39,0.011,52.5,149.6,28.1,72.1,16.6,1.87,3,0
6.34,9.12,0.26,5.92,-0.009,54.0,198.8,24.5,51.5,26.0,9.76,10,0
19.88,21.65,0.83,6.88,0.037,61.1,53.8,28.1,77.6,14.5,5.5,10,0
180.15,256.88,7.51,7.38,0.193,95.0,89.2,28.4,95.0,16.9,4.56,7,2
174.51,122.87,7.27,11.86,0.181,95.0,182.4,31.0,95.0,32.9,6.57,6,2
57.74,45.22,2.41,8.61,0.035,75.7,170.8,30.2,83.4,21.8,7.15,5,1
137.83,165.3,5.74,4.73,0.081,95.0,246.1,31.7,80.6,44.2,8.83,7,1
29.8,26.43,1.24,5.75,0.054,54.5,378.0,30.9,74.1,21.3,6.7,2,0
234.82,330.93,9.78,8.08,0.188,95.0,263.4,21.9,95.0,17.6,7.52,6,2
177.32,257.98,7.39,11.35,0.164,95.0,40.6,30.0,95.0,20.4,5.75,7,2
93.69,130.0,3.9,4.43,0.074,71.4,77.2,30.5,82.9,30.0,6.07,10,0
76.43,101.16,3.18,5.28,0.131,82.0,107.0,31.3,75.0,26.3,4.41,10,1
138.44,125.04,5.77,10.0,0.088,95.0,124.6,32.3,79.1,18.7,5.35,6,2
55.93,67.86,2.33,4.28,0.089,64.7,164.0,27.2,62.8,18.7,8.71,10,0
137.84,127.75,5.74,10.94,0.135,87.5,114.8,31.0,82.3,17.6,10.32,9,2
63.87,59.68,2.66,4.99,0.031,66.4,226.3,28.8,76.0,22.1,3.48,2,0
50.84,37.19,2.12,7.57,0.068,61.9,177.6,27.7,66.0,21.7,4.79,4,1
30.87,35.28,1.29,5.04,0.079,57.3,89.7,28.1,76.4,28.2,6.78,11,0
8.38,12.47,0.35,1.66,-0.033,57.1,176.9,30.1,63.4,21.4,7.66,1,0
42.55,36.22,1.77,9.36,0.081,56.2,125.7,33.8,70.6,13.9,5.76,5,0
163.43,187.77,6.81,8.74,0.109,95.0,124.2,26.9,95.0,16.7,3.88,6,2
39.92,28.53,1.66,7.87,0.072,56.3,169.1,22.1,72.9,9.7,8.01,11,0
111.16,100.41,4.63,12.1,0.215,83.1,46.4,24.0,92.9,17.3,6.12,7,2
42.52,54.74,1.77,3.52,0.05,58.5,112.3,30.6,74.1,20.9,13.61,3,0
34.69,26.37,1.45,2.14,-0.028,65.7,140.2,32.9,73.0,15.0,4.76,4,0
69.11,64.45,2.88,9.21,0.054,83.0,312.9,28.8,80.5,37.9,9.19,8,1
35.75,48.42,1.49,2.98,0.031,59.9,205.6,32.4,70.6,11.1,8.82,3,0
37.51,33.75,1.56,8.45,0.049,55.9,82.1,31.2,83.5,37.5,8.06,12,0
42.04,33.79,1.75,6.07,0.03,60.6,280.1,30.4,59.1,18.1,15.4,4,0
53.36,70.81,2.22,5.92,0.082,77.0,427.5,33.1,86.1,14.9,6.96,4,1
13.77,15.15,0.57,8.29,0.052,51.6,136.7,30.7,70.5,44.6,1.72,5,1
84.91,123.41,3.54,7.49,0.078,78.3,304.3,24.3,83.3,18.6,7.8,6,1
96.95,94.98,4.04,4.07,0.013,89.0,181.4,23.6,88.1,20.8,9.83,8,1
53.11,76.12,2.21,6.3,0.003,57.7,124.4,34.5,82.5,12.4,7.84,4,0
237.76,328.14,9.91,12.85,0.203,95.0,175.9,28.6,95.0,26.3,3.26,6,2
266.26,374.01,11.09,10.58,0.156,95.0,283.5,31.2,95.0,45.1,6.69,9,2
104.1,133.62,4.34,5.13,0.044,77.6,83.5,33.9,86.6,39.2,3.47,8,1
17.23,20.65,0.72,2.64,0.013,52.4,117.6,26.3,68.9,13.2,7.59,3,0
31.19,44.06,1.3,6.55,0.047,54.2,158.7,30.1,78.0,25.7,9.08,2,0
93.71,120.06,3.9,10.35,0.139,74.7,234.0,26.1,95.0,16.7,18.25,9,1
47.98,53.92,2.0,5.74,0.002,71.4,206.7,27.8,61.8,27.2,9.56,1,0
23.81,25.46,0.99,7.26,0.008,62.2,26.9,29.9,78.6,8.5,9.57,4,1
4.92,4.73,0.2,5.33,0.029,42.7,157.7,21.5,52.6,12.7,7.04,3,0
206.22,153.39,8.59,8.32,0.158,95.0,212.1,35.3,95.0,22.0,5.2,6,2
25.82,30.55,1.08,2.6,-0.016,57.9,134.0,32.3,75.0,20.1,7.44,3,0
254.0,292.61,10.58,11.2,0.216,95.0,26.8,29.9,95.0,48.0,11.98,9,3
53.43,68.14,2.23,5.09,0.003,64.3,55.6,31.3,87.6,20.0,9.38,6,1
122.98,114.3,5.12,7.29,0.147,91.0,198.1,26.8,92.7,30.8,10.49,8,2
63.47,56.29,2.64,5.57,0.083,66.3,54.5,29.8,75.6,17.4,1.66,12,1
52.25,39.51,2.18,6.89,0.046,71.7,253.8,30.4,73.6,17.1,10.21,12,1
20.98,29.4,0.87,5.61,0.111,60.8,223.4,24.2,56.2,26.4,7.2,4,0
41.93,59.97,1.75,2.27,-0.018,70.7,107.5,31.0,78.2,30.3,6.91,3,0
31.55,30.07,1.31,7.92,0.003,57.7,170.3,23.6,83.1,22.0,9.53,10,0
22.66,22.91,0.94,4.56,0.003,57.8,186.9,28.9,82.9,21.7,8.09,2,0
54.09,56.97,2.25,6.49,0.065,67.8,207.9,31.2,68.9,18.9,5.18,1,0
22.02,29.71,0.92,3.55,0.043,62.0,195.7,32.2,67.8,23.0,10.62,3,0
190.3,160.38,7.93,5.68,0.133,95.0,270.0,30.0,91.7,22.4,4.23,6,1
182.99,210.55,7.62,9.09,0.134,95.0,545.2,26.5,95.0,8.1,11.48,6,2
246.83,353.22,10.28,12.7,0.226,95.0,581.8,33.8,95.0,31.1,1.16,8,2
112.94,93.66,4.71,8.48,0.044,95.0,290.7,28.2,78.9,18.7,6.11,5,2
29.34,40.23,1.22,3.49,-0.012,63.5,370.2,29.6,74.7,13.3,12.09,4,0
38.22,47.77,1.59,3.46,0.037,60.0,200.2,31.1,82.8,22.5,4.42,2,0
34.85,32.77,1.45,8.45,0.068,55.7,102.7,24.2,79.3,7.1,7.49,3,0
146.84,174.56,6.12,7.56,0.137,95.0,211.3,29.1,81.0,28.7,10.58,8,2
46.97,36.66,1.96,8.16,0.08,63.6,95.5,30.5,78.3,26.4,7.71,10,0
63.29,44.8,2.64,4.18,0.031,65.9,159.8,30.3,71.1,26.1,3.86,11,0
33.54,31.89,1.4,3.26,0.017,64.8,298.7,27.2,83.2,29.7,4.92,10,0
59.58,85.25,2.48,5.16,0.029,64.8,319.7,29.3,89.2,39.8,11.03,6,0
65.64,72.18,2.74,3.55,-0.012,76.5,70.4,25.3,82.0,19.1,5.52,4,0
49.19,44.76,2.05,8.04,0.042,67.7,182.7,25.9,69.2,26.5,6.46,9,0
12.8,16.17,0.53,6.62,0.031,44.7,221.2,27.4,68.6,21.0,4.06,11,0
173.02,241.52,7.21,6.95,0.175,95.0,214.8,35.3,85.2,20.3,9.7,8,1
51.86,44.55,2.16,5.15,0.071,76.9,57.6,29.0,69.2,9.5,8.92,11,1
14.28,12.75,0.59,5.65,-0.082,62.2,123.9,29.3,62.4,19.8,4.79,10,0
169.5,119.04,7.06,10.75,0.132,95.0,247.0,24.3,95.0,55.2,10.7,8,2
44.66,35.05,1.86,6.53,0.016,61.7,138.9,25.3,71.6,11.3,18.86,12,0
216.11,168.03,9.0,10.57,0.22,95.0,161.5,30.7,95.0,21.6,4.13,7,2
24.07,24.37,1.0,7.86,0.046,52.1,227.7,31.5,58.7,12.4,2.54,5,1
29.51,39.94,1.23,1.45,-0.026,62.1,194.2,33.7,73.6,25.7,1.5,11,0
7.74,9.19,0.32,4.07,0.042,58.5,195.3,30.4,65.0,25.3,12.37,3,0
132.49,181.93,5.52,8.13,0.101,95.0,214.5,28.3,77.7,10.4,6.24,8,2
68.08,81.23,2.84,10.22,0.096,81.6,348.2,29.5,65.4,9.6,2.38,3,2
84.65,63.65,3.53,8.54,0.066,83.1,259.2,32.4,80.8,37.4,9.66,8,1
47.52,39.48,1.98,4.32,0.065,57.8,250.2,29.5,82.4,26.3,10.54,2,0
68.3,56.47,2.85,7.88,0.042,71.8,227.9,26.0,82.2,9.1,9.78,9,1
53.76,60.78,2.24,4.85,0.002,67.9,92.2,24.2,62.8,30.4,7.25,4,0
346.8,407.85,14.45,8.69,0.256,95.0,285.5,28.8,95.0,39.8,9.76,6,2
50.12,69.02,2.09,5.41,0.053,65.2,17.2,29.0,89.9,32.1,5.99,5,1
39.75,45.98,1.66,7.59,0.043,58.3,38.1,23.5,61.5,45.2,3.86,10,1
36.25,26.72,1.51,1.62,-0.082,55.9,188.9,27.6,79.7,16.3,4.5,1,0
38.42,44.26,1.6,8.18,0.043,66.3,154.2,26.6,61.9,20.9,11.23,10,0
41.7,52.06,1.74,9.57,0.126,73.0,79.3,30.1,61.2,6.3,12.49,1,1
47.42,59.93,1.98,4.77,0.094,74.9,57.4,33.1,81.1,18.4,17.24,4,0
47.08,36.21,1.96,7.33,0.022,62.4,92.1,30.8,76.0,31.0,8.82,5,0
123.32,86.36,5.14,7.81,0.093,84.8,250.9,29.9,82.2,48.4,7.03,6,1
16.95,18.5,0.71,6.35,-0.017,55.4,230.3,29.2,82.5,13.6,7.9,4,0
58.03,55.66,2.42,3.9,0.045,76.9,226.2,32.0,73.5,26.8,11.65,11,0
53.65,76.81,2.24,2.57,0.001,66.0,136.6,35.1,85.6,24.4,10.54,7,0
62.63,58.51,2.61,1.74,-0.031,64.9,399.4,27.5,70.9,68.7,2.96,5,0
21.02,15.75,0.88,4.45,0.035,51.4,161.6,29.2,69.6,30.8,13.95,5,0
56.77,69.5,2.37,1.95,-0.004,58.9,221.8,21.2,76.0,14.6,14.05,3,0
213.41,220.78,8.89,12.94,0.228,95.0,155.4,28.0,95.0,18.4,9.14,8,2
64.56,87.03,2.69,6.63,0.054,79.3,126.3,30.7,79.5,16.6,7.32,1,1
132.21,161.42,5.51,9.25,0.11,86.3,159.1,30.3,95.0,29.8,11.07,7,2
25.62,29.3,1.07,5.0,-0.015,53.6,356.4,30.2,61.6,12.0,5.67,3,0
25.45,25.93,1.06,7.68,0.01,62.2,187.1,31.7,70.8,21.0,7.37,10,0
26.19,31.02,1.09,7.51,-0.011,60.2,430.4,37.8,63.1,25.5,3.92,2,0
114.15,153.51,4.76,5.19,0.061,95.0,296.4,35.4,87.7,23.1,12.42,6,1
53.12,67.97,2.21,4.88,0.019,63.4,170.6,23.2,72.2,45.0,5.69,12,0
